"種別","名称","住所","x座標","y座標"
"指定緊急避難場所（緊急時の避難場所）","浜手緑地中島地区","飾磨区中島","134.6767861","34.79145367"
"指定緊急避難場所（緊急時の避難場所）","浜手緑地白浜地区","白浜町甲912-1 他","134.6936578","34.78339422"
"指定緊急避難場所（緊急時の避難場所）","林田公民館","林田町林田13","134.5809814","34.90433634"
"指定緊急避難場所（緊急時の避難場所）","林田小学校","林田町六九谷523","134.583199","34.9139592"
"指定緊急避難場所（緊急時の避難場所）","林田中学校","林田町林田33","134.5803385","34.90502225"
"指定緊急避難場所（緊急時の避難場所）","東阿保緑地(1)","四郷町東阿保地先(市川左岸)","134.7175818","34.82247458"
"指定緊急避難場所（緊急時の避難場所）","東公民館","幸町94","134.7049929","34.83160278"
"指定緊急避難場所（緊急時の避難場所）","東市民センター","花田町加納原田888-1","134.7278264","34.83274786"
"指定緊急避難場所（緊急時の避難場所）","東小学校","市之郷町二丁目34","134.7089516","34.82689433"
"指定緊急避難場所（緊急時の避難場所）","東中学校","別所町別所五丁目30-2","134.7523677","34.81511355"
"指定緊急避難場所（緊急時の避難場所）","旧東幼稚園","宮上町一丁目15-1","134.713514","34.83005303"
"指定緊急避難場所（緊急時の避難場所）","聖ヶ岡公園","林田町林田10-4外","134.5802912","34.90561667"
"指定緊急避難場所（緊急時の避難場所）","姫路球場","飯田540","134.6724841","34.81943791"
"指定緊急避難場所（緊急時の避難場所）","姫路公園(シロトピア記念公園)","本町68","134.6949786","34.84156756"
"指定緊急避難場所（緊急時の避難場所）","姫路工業高校","伊伝居600-1","134.6970752","34.84840381"
"指定緊急避難場所（緊急時の避難場所）","姫路高校","辻井九丁目1-10","134.6780799","34.85080324"
"指定緊急避難場所（緊急時の避難場所）","姫路飾西高校","飾西148-2","134.6360829","34.86106546"
"指定緊急避難場所（緊急時の避難場所）","姫路商業高校","井ノ口468","134.655871","34.82558585"
"指定緊急避難場所（緊急時の避難場所）","姫路市立好古学園大学校","田寺東二丁目2-1","134.6743276","34.85549943"
"指定緊急避難場所（緊急時の避難場所）","姫路西高校","北八代二丁目1-33","134.6950903","34.84958165"
"指定緊急避難場所（緊急時の避難場所）","姫路東高校","本町68-70","134.6989213","34.84050973"
"指定緊急避難場所（緊急時の避難場所）","姫路別所高校","別所町北宿303","134.7684342","34.80885629"
"指定緊急避難場所（緊急時の避難場所）","姫路南高校","大津区天満191-5","134.6099892","34.80287387"
"指定緊急避難場所（緊急時の避難場所）","兵庫県立大学姫路工学キャンパス","書写2167","134.6529546","34.87789542"
"指定緊急避難場所（緊急時の避難場所）","広高浜公園","広畑区高浜町四丁目1 -55外","134.6191305","34.80095011"
"指定緊急避難場所（緊急時の避難場所）","広畑公民館","広畑区本町一丁目53","134.6298022","34.80234496"
"指定緊急避難場所（緊急時の避難場所）","広畑市民センター","広畑区正門通一丁目7-3","134.6285015","34.80523771"
"指定緊急避難場所（緊急時の避難場所）","広畑小学校","広畑区清水町一丁目47","134.6323892","34.80438886"
"指定緊急避難場所（緊急時の避難場所）","広畑第二小学校","広畑区高浜町三丁目35","134.6213953","34.80146805"
"指定緊急避難場所（緊急時の避難場所）","広畑中学校","広畑区小松町三丁目83","134.6215513","34.80236895"
"指定緊急避難場所（緊急時の避難場所）","広畑緑地","広畑区北河原町、本町六丁目、末広町三丁目、東新町三丁目(夢前川右岸)","134.6377395","34.80157455"
"指定緊急避難場所（緊急時の避難場所）","広峰公民館","城北新町一丁目11-23","134.6979462","34.85369522"
"指定緊急避難場所（緊急時の避難場所）","広峰小学校","峰南町2-1","134.695716","34.85751275"
"指定緊急避難場所（緊急時の避難場所）","広嶺中学校","峰南町2-43","134.695519","34.85994747"
"指定緊急避難場所（緊急時の避難場所）","船津公園","船津町3288他","134.7494572","34.92491465"
"指定緊急避難場所（緊急時の避難場所）","船津小学校","船津町921-2","134.7574378","34.91879253"
"指定緊急避難場所（緊急時の避難場所）","ふれあいの館","船津町3288","134.7490282","34.92180952"
"指定緊急避難場所（緊急時の避難場所）","文化センター","西延末426-1","134.6768096","34.82406839"
"指定緊急避難場所（緊急時の避難場所）","別所公民館","別所町別所1717-4","134.7559021","34.80730377"
"指定緊急避難場所（緊急時の避難場所）","別所小学校","別所町別所673","134.7554851","34.8091265"
"指定緊急避難場所（緊急時の避難場所）","北条緑地","北条250","134.6966959","34.82185578"
